roll_number,department,credit,course_name,course_type,grade
588946,MA,3,EC250,hasmed_elective,AB
145372,EP,4,EP407,hasmed_elective,CC
834515,MA,8,EP885,hasmed_elective,BB
344265,CSE,6,CSE699,honours,AB
358405,MA,3,EE460,minor,AP
781075,CE,8,CE540,honours,CC
180828,CSE,6,CE880,minor,AB
981238,MM,4,CSE226,minor,AB
836881,MM,8,MM530,core,AA
310604,EE,8,EE202,core,AB
847809,IE,8,ME229,minor,AP
773982,EE,8,MA850,department_elective,BB
500658,CE,4,EC474,hasmed_elective,BC
810863,CE,4,CE197,flexible_elective,BB
124663,EE,8,EE676,alc,AB
364146,MA,3,MM527,hasmed_elective,CC
871746,IE,4,IE738,honours,BB
270007,IE,8,MA902,minor,AB
597353,CSE,3,ME883,alc,BC
781075,CE,4,EC284,minor,AB
986057,ME,3,EE688,minor,AB
718510,EP,3,EP672,honours,CC
871746,IE,8,EC326,flexible_elective,BC
836431,EE,3,EE112,honours,CC
379479,MA,8,MA737,core,AP
582912,CH,6,CH503,hasmed_elective,AB
788020,CE,3,CH140,department_elective,AA
613401,CE,3,EC728,flexible_elective,CC
124663,EE,4,MM274,minor,AA
582912,CH,8,ME315,flexible_elective,AA
144528,ME,6,MA849,alc,CC
485484,MM,4,MA837,alc,BB
364146,MA,4,MM431,minor,CC
680096,CH,3,ME950,department_elective,AA
199713,EE,3,EE949,core,CC
851029,CSE,8,EE254,department_elective,AP
845623,EE,8,EE433,flexible_elective,AA
364146,MA,3,CH809,alc,BC
344265,CSE,8,EC636,department_elective,AA
613401,CE,3,CE855,core,CC
836881,MM,6,EE403,alc,AP
847809,IE,8,EP552,minor,BB
150503,CH,6,MA631,flexible_elective,BC
214270,CH,8,CH324,core,AP
517837,CH,3,EP663,minor,AP
517837,CH,4,CH823,hasmed_elective,AA
482623,IE,8,MA330,alc,AA
721490,EP,6,ME912,minor,BB
214270,CH,6,CH617,honours,CC
955757,MM,6,EC191,alc,BC
721490,EP,8,CSE919,flexible_elective,AP
358405,MA,4,MM506,flexible_elective,BC
845623,EE,3,MA442,alc,CC
613401,CE,3,CE930,honours,AP
589528,EE,4,EP851,department_elective,AB
143856,CE,8,CE311,alc,AA
358405,MA,8,IE525,alc,AA
150503,CH,4,EP338,minor,CC
836881,MM,4,MM568,honours,AA
571782,ME,8,CSE763,minor,AP
973158,EE,4,ME658,department_elective,BC
214270,CH,8,ME610,department_elective,CC
124663,EE,6,EE236,alc,CC
703403,EC,8,EC764,honours,AB
960395,EE,3,EP910,alc,BC
521087,CSE,4,CSE122,core,CC
461971,CE,3,MA246,alc,BB
517837,CH,4,MA914,minor,AA
955757,MM,4,ME115,department_elective,CC
847809,IE,3,IE736,core,BC
781075,CE,4,MA546,flexible_elective,BC
781075,CE,6,CE161,core,AA
879634,EP,6,ME326,hasmed_elective,AB
703403,EC,6,EC790,honours,AB
716985,MM,6,CSE139,minor,AA
194063,EP,4,EE999,minor,CC
265922,EP,8,ME880,minor,AA
344265,CSE,4,MM804,alc,CC
283796,ME,8,ME440,core,AB
981238,MM,6,MM841,core,AP
517837,CH,6,ME466,minor,AB
721490,EP,4,EP728,core,AP
203200,CH,6,CH670,core,BB
482623,IE,6,EE227,minor,AB
588946,MA,8,MA720,core,BB
589528,EE,4,EE802,core,AP
986057,ME,8,MA619,department_elective,AP
180828,CSE,4,CSE165,core,AB
716985,MM,4,MM175,core,AA
145372,EP,4,MA141,hasmed_elective,AA
301135,IE,4,IE212,honours,AB
327122,MM,3,CSE331,department_elective,CC
973158,EE,8,EE231,department_elective,AP
381526,CE,4,CE866,core,AP
781075,CE,3,EE197,hasmed_elective,AA
703403,EC,6,EE144,alc,BB
788020,CE,8,CE561,core,AB
534763,MA,3,EC360,alc,AA
270007,IE,6,CE146,flexible_elective,CC
214270,CH,3,EP311,department_elective,AB
391848,ME,3,EE780,hasmed_elective,AB
180828,CSE,4,CE654,flexible_elective,CC
680096,CH,4,CH624,core,AA
329535,EC,3,EP695,minor,AB
571782,ME,8,EE290,alc,BB
781075,CE,6,CH970,flexible_elective,BC
180828,CSE,3,MM660,hasmed_elective,AA
971123,MA,4,EC690,department_elective,CC
482623,IE,8,EC505,minor,AA
207443,ME,4,CE922,minor,BB
836431,EE,8,ME782,department_elective,CC
488661,EE,4,EE547,core,AB
810863,CE,8,IE273,alc,AP
810863,CE,8,EP673,minor,CC
782129,MA,3,EE636,alc,AB
928288,CSE,8,CSE236,alc,AB
143856,CE,4,IE926,department_elective,BB
581858,MA,8,MA194,honours,AB
733782,CH,3,EE832,department_elective,AB
716985,MM,6,MM142,department_elective,BB
282482,MM,8,ME551,department_elective,CC
572815,CSE,3,CE345,hasmed_elective,CC
145372,EP,6,MA866,alc,BB
608952,EP,4,EP962,honours,AB
517837,CH,8,MM887,hasmed_elective,AA
773982,EE,8,EE775,core,AB
628849,MA,6,MA470,honours,AA
845623,EE,4,MA569,flexible_elective,AB
630568,EP,4,EP361,core,AA
582912,CH,8,CE124,hasmed_elective,AP
845623,EE,4,MM754,department_elective,BC
716985,MM,3,EP156,flexible_elective,AP
270007,IE,6,IE298,honours,AA
388969,CSE,4,EC223,department_elective,AP
159438,EE,3,ME585,alc,AB
478606,CE,3,EE261,alc,BB
973158,EE,4,ME629,minor,BB
329535,EC,6,CSE342,alc,AP
981238,MM,4,CH632,hasmed_elective,BB
995208,ME,6,EC583,flexible_elective,BC
960395,EE,8,EE567,core,AA
581858,MA,8,MA905,core,AA
981238,MM,3,CH746,hasmed_elective,AP
781075,CE,8,EP245,department_elective,BC
488661,EE,3,EC610,department_elective,AP
124663,EE,6,CSE195,alc,AB
841365,MA,4,ME752,department_elective,AP
282482,MM,4,MM152,core,AB
572815,CSE,4,CSE927,honours,AA
589528,EE,3,MA116,alc,AB
870642,MM,4,EP813,hasmed_elective,BC
970791,MA,6,MA191,honours,CC
124663,EE,4,CSE242,alc,CC
143142,CSE,6,CH516,minor,AA
970791,MA,6,MM767,minor,AB
282482,MM,6,MM157,core,BC
998293,ME,6,EP827,hasmed_elective,AP
214270,CH,8,CH986,hasmed_elective,CC
144528,ME,3,ME286,honours,CC
482623,IE,3,CSE118,minor,AP
478606,CE,6,MM953,hasmed_elective,BB
379479,MA,3,MA342,core,AA
907454,CSE,6,IE235,minor,BB
478606,CE,3,MM312,hasmed_elective,AP
681499,CH,3,EE974,alc,AA
628849,MA,6,EP192,department_elective,AA
888886,CE,8,IE135,minor,AA
613401,CE,6,CE251,honours,AP
608522,EC,3,MM286,minor,BB
144528,ME,4,ME846,honours,AA
203200,CH,3,CH931,core,BB
344265,CSE,4,EE257,hasmed_elective,AP
362471,EE,3,CSE786,hasmed_elective,AB
571782,ME,6,MA131,minor,AB
381526,CE,4,MA985,alc,AA
465496,MA,8,EE976,alc,AP
482623,IE,8,IE123,core,CC
381526,CE,8,EC269,department_elective,BC
571782,ME,6,CSE349,alc,BC
608952,EP,8,ME107,minor,BB
150503,CH,3,MA554,alc,BB
301135,IE,4,IE794,honours,AB
329535,EC,8,EP973,minor,CC
143856,CE,3,EP448,flexible_elective,CC
327122,MM,4,EP486,alc,AB
143856,CE,8,ME287,minor,CC
145372,EP,8,CH307,hasmed_elective,CC
208100,EE,4,CH702,flexible_elective,AP
194063,EP,3,CSE741,alc,AA
981238,MM,3,MA774,department_elective,AB
465496,MA,8,MA415,core,AP
971123,MA,3,EE342,hasmed_elective,BC
364146,MA,8,IE186,flexible_elective,BB
973158,EE,8,ME831,alc,AA
138296,MM,4,MM602,honours,BC
597353,CSE,3,CSE244,alc,AB
775967,EC,6,MA300,department_elective,AP
